"","Number","Name","Nation","Pos","Club","Age","Born","MP","Starts","Min","90s","Gls","Ast","PK","CrdY","CrdR","xG","npxG","xA","Note"
"1",1,"Issah Abbas","GHA","WB","Mainz",22,1998,2,0,18,0.2,0,0,0,0,0,0,0,0,NA
"2",2,"David Abraham","ARG","CB","Eintracht",34,1986,14,14,1222,13.6,1,0,0,5,1,0.7,0.7,0.5,3.32
"3",3,"Amir Abrashi","ALB","DM","Freiburg",30,1990,5,0,60,0.7,0,0,0,0,0,0,0,0,NA
"4",4,"Ragnar Ache","GER","FW","Eintracht",22,1998,2,0,36,0.4,0,0,0,0,0,0,0,0,NA
"5",5,"Tyler Adams","USA","DM","Leipzig",21,1999,15,11,1051,11.7,1,0,0,2,0,0.5,0.5,0.3,3.5
"6",6,"Sargis Adamyan","ARM","W","Hoffenheim",27,1993,9,0,154,1.7,1,2,0,0,0,1.1,1.1,0.4,NA
"7",7,"Felix Agu","GER","WB","Werder",21,1999,7,4,365,4.1,1,0,0,0,0,0.6,0.6,0.2,NA
"8",8,"Manuel Akanji","SUI","CB","Dortmund",25,1995,17,16,1475,16.4,2,0,0,2,0,1.5,1.5,0.1,3.5
"9",9,"Kevin Akpoguma","NGA","CB","Hoffenheim",25,1995,13,11,942,10.5,0,0,0,1,0,0,0,0.4,3.6
"10",10,"David Alaba","AUT","CB","Bayern",28,1992,18,17,1542,17.1,2,0,0,1,0,0.3,0.3,0.4,3.38
"11",11,"Lucas Alario","ARG","FW","Leverkusen",28,1992,16,8,826,9.2,8,1,2,2,0,4.8,3.3,0.3,NA
"12",12,"Omar Alderete","PAR","CB","Hertha",24,1996,10,10,884,9.8,0,0,0,1,0,0.5,0.5,0.1,3.85
"13",13,"Nadiem Amiri","GER","CM","Leverkusen",24,1996,17,14,1272,14.1,2,6,0,2,0,1.2,1.2,2.2,3.57
"14",14,"Sebastian Andersson","SWE","FW","Koeln",29,1991,10,9,737,8.2,2,0,1,0,0,3.3,2.6,0.3,NA
"15",15,"Robert Andrich","GER","CM","Union",26,1994,16,16,1356,15.1,4,1,0,2,1,1.5,1.5,1.4,3.09
"16",16,"Angelino","ESP","WB","Leipzig",24,1997,18,18,1610,17.9,4,2,0,2,0,3.4,3.4,3.9,2.83
"17",17,"Waldemar Anton","GER","CB","Stuttgart",24,1996,16,15,1361,15.1,0,1,0,2,0,0.9,0.9,0.4,3.43
"18",18,"Charles Aránguiz","CHI","CM","Leverkusen",31,1989,8,7,567,6.3,0,0,0,2,0,0.4,0.4,0.1,NA
"19",19,"Santiago Arias","COL","FB","Leverkusen",29,1992,1,1,90,1,0,0,0,0,0,0,0,0,NA
"20",20,"Maximilian Arnold","GER","CM","Wolfsburg",26,1994,16,16,1361,15.1,2,4,0,4,1,1.1,1.1,2.2,3.06
"21",21,"Toluwalas Arokodare","NGA","FW","Koeln",20,2000,7,0,77,0.9,0,0,0,0,0,0.2,0.2,0,NA
"22",22,"Santiago Ascacíbar","ARG","DM","Hertha",23,1997,1,1,88,1,0,0,0,0,0,0,0,0,NA
"23",23,"Ludwig Augustinsson","SWE","FB","Werder",26,1994,13,12,1110,12.3,0,4,0,4,0,0.5,0.5,2,3.27
"24",24,"Taiwo Awoniyi","NGA","FW","Union",23,1997,17,14,1134,12.6,5,2,0,0,0,5.4,5.4,1.2,3.36
"25",25,"Leon Bailey","JAM","W","Leverkusen",23,1997,18,16,1384,15.4,4,5,0,4,0,3.7,3.7,2.6,3.28
"26",26,"Ridle Baku","GER","WB","Wolfsburg",22,1998,17,16,1385,15.4,3,2,0,0,0,0.9,0.9,2.4,3.28
"27",26,"Ridle Baku","GER","FB","Mainz",22,1998,2,2,180,2,0,0,0,0,0,0,0,0,3.28
"28",27,"Aymen Barkok","MAR","AM","Eintracht",22,1998,17,7,699,7.8,2,3,0,5,0,1.4,1.4,2.5,3.5
"29",28,"Leandro Barreiro Martins","LUX","CM","Mainz",21,2000,14,12,1056,11.7,1,1,0,1,0,0.6,0.6,0.9,3.83
"30",29,"Jacob Barrett Laursen","DEN","FB","Arminia",26,1994,9,7,653,7.3,0,1,0,1,0,0,0,1.2,NA
"31",30,"Oliver Baumann","GER","GK","Hoffenheim",30,1990,18,18,1620,18,0,0,0,1,0,0,0,0,2.86
